Grupo,Selección,Gana grupo,Top 2,Avanza (con 3os)
A,Mexico,36.66,64.64,81.06
A,South Africa,10.645,28.194999999999997,46.265
A,Korea Republic,26.76,54.075,72.88
A,Czechia,25.935000000000002,53.09,72.35000000000001
B,Canada,25.755,68.045,85.225
B,Bosnia and Herzegovina,8.025,30.145,55.82
B,Qatar,2.685,12.934999999999999,27.525
B,Switzerland,63.535,88.875,96.695
C,Brazil,62.57,90.46000000000001,98.675
C,Morocco,29.759999999999998,76.66,93.26
C,Haiti,0.345,3.0300000000000002,9.155000000000001
C,Scotland,7.324999999999999,29.849999999999998,68.12
D,USA,19.32,41.535,59.975
D,Paraguay,22.335,48.55,67.425
D,Australia,28.95,55.645,73.825
D,Turkey,29.395,54.269999999999996,72.69
E,Germany,53.605000000000004,83.48,98.03
E,Curacao,0.21,1.58,5.11
E,Côte d'Ivoire,14.854999999999999,43.879999999999995,81.105
E,Ecuador,31.330000000000002,71.06,92.935
F,Netherlands,47.89,76.23,88.905
F,Japan,31.96,64.75500000000001,81.22500000000001
F,Sweden,11.645,32.425000000000004,52.695
F,Tunisia,8.505,26.590000000000003,46.19
G,Belgium,56.769999999999996,82.515,93.14
G,Egypt,16.79,46.685,69.6
G,IR Iran,23.21,56.84,76.75999999999999
G,New Zealand,3.2300000000000004,13.96,27.175
H,Spain,75.675,96.09,99.05000000000001
H,Cabo Verde,1.6400000000000001,13.320000000000002,30.125
H,Saudi Arabia,1.46,12.855,30.43
H,Uruguay,21.224999999999998,77.735,89.25999999999999
I,France,52.629999999999995,81.50999999999999,94.37
I,Senegal,20.48,52.67000000000001,78.865
I,Iraq,1.575,7.155,16.41
I,Norway,25.314999999999998,58.665,82.76
J,Argentina,70.455,91.77,98.225
J,Algeria,11.78,44.26500000000001,72.255
J,Austria,16.405,55.715,79.14
J,Jordan,1.3599999999999999,8.25,18.65
K,Portugal,48.46,82.375,92.64
K,Congo DR,4.79,19.505,38.92
K,Uzbekistan,4.865,19.325,38.005
K,Colombia,41.885,78.79499999999999,90.485
L,England,64.105,92.735,97.88
L,Croatia,30.564999999999998,79.885,91.43
L,Ghana,3.26,15.595,37.165
L,Panama,2.07,11.785,30.12
